method,seed,condition_id,geometry_variable,geometry_value,sample_count,error_count,error_rate,harmful_flip_count,harmful_flip_rate
mobilenet_v3_small,43,brightness_moderate,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,2,0.031746031746031744
mobilenet_v3_small,43,brightness_moderate,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,43,brightness_severe,occupancy_bin,0.25_to_lt_0.50,73,24,0.3287671232876712,23,0.3150684931506849
mobilenet_v3_small,43,brightness_severe,occupancy_bin,lt_0.10,24,7,0.2916666666666667,5,0.20833333333333334
mobilenet_v3_small,43,brightness_severe,occupancy_bin,0.10_to_lt_0.25,63,19,0.30158730158730157,11,0.1746031746031746
mobilenet_v3_small,43,brightness_severe,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,43,jpeg_mild,occupancy_bin,0.25_to_lt_0.50,73,7,0.0958904109589041,4,0.0547945205479452
mobilenet_v3_small,43,jpeg_mild,occupancy_bin,lt_0.10,24,6,0.25,3,0.125
mobilenet_v3_small,43,jpeg_mild,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,2,0.031746031746031744
mobilenet_v3_small,43,jpeg_mild,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,43,jpeg_moderate,occupancy_bin,0.25_to_lt_0.50,73,5,0.0684931506849315,2,0.0273972602739726
mobilenet_v3_small,43,jpeg_moderate,occupancy_bin,lt_0.10,24,6,0.25,3,0.125
mobilenet_v3_small,43,jpeg_moderate,occupancy_bin,0.10_to_lt_0.25,63,15,0.23809523809523808,5,0.07936507936507936
mobilenet_v3_small,43,jpeg_moderate,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,43,jpeg_severe,occupancy_bin,0.25_to_lt_0.50,73,8,0.1095890410958904,6,0.0821917808219178
mobilenet_v3_small,43,jpeg_severe,occupancy_bin,lt_0.10,24,6,0.25,4,0.16666666666666666
mobilenet_v3_small,43,jpeg_severe,occupancy_bin,0.10_to_lt_0.25,63,17,0.2698412698412698,6,0.09523809523809523
mobilenet_v3_small,43,jpeg_severe,occupancy_bin,ge_0.50,2,0,0,0,0
hog,not_applicable,clean,boundary_shifted,True,84,45,0.5357142857142857,0,not_applicable
hog,not_applicable,clean,boundary_shifted,False,78,31,0.3974358974358974,0,not_applicable
hog,not_applicable,gaussian_blur_mild,boundary_shifted,True,84,45,0.5357142857142857,1,0.011904761904761904
hog,not_applicable,gaussian_blur_mild,boundary_shifted,False,78,30,0.38461538461538464,1,0.01282051282051282
hog,not_applicable,gaussian_blur_moderate,boundary_shifted,True,84,45,0.5357142857142857,7,0.08333333333333333
hog,not_applicable,gaussian_blur_moderate,boundary_shifted,False,78,30,0.38461538461538464,6,0.07692307692307693
