method,seed,condition_id,true_label,support,dominant_incorrect_destination,dominant_incorrect_count
resnet18,29,resolution_moderate,surface_injure,33,hide_craze,3
resnet18,29,resolution_moderate,thunderstrike,9,surface_injure,1
resnet18,29,resolution_moderate,crack,14,none,0
resnet18,29,resolution_moderate,hide_craze,49,craze|crack,1
resnet18,29,resolution_severe,craze,27,surface_injure,8
resnet18,29,resolution_severe,corrosion,30,hide_craze,10
resnet18,29,resolution_severe,surface_injure,33,hide_craze,4
resnet18,29,resolution_severe,thunderstrike,9,surface_injure,2
resnet18,29,resolution_severe,crack,14,none,0
resnet18,29,resolution_severe,hide_craze,49,surface_injure,3
resnet18,29,brightness_mild,craze,27,corrosion,2
resnet18,29,brightness_mild,corrosion,30,hide_craze,5
resnet18,29,brightness_mild,surface_injure,33,hide_craze,9
resnet18,29,brightness_mild,thunderstrike,9,none,0
resnet18,29,brightness_mild,crack,14,craze|surface_injure|hide_craze,1
resnet18,29,brightness_mild,hide_craze,49,craze,3
resnet18,29,brightness_moderate,craze,27,hide_craze,4
resnet18,29,brightness_moderate,corrosion,30,surface_injure|hide_craze,4
resnet18,29,brightness_moderate,surface_injure,33,craze,2
resnet18,29,brightness_moderate,thunderstrike,9,surface_injure,1
resnet18,29,brightness_moderate,crack,14,craze|hide_craze,3
resnet18,29,brightness_moderate,hide_craze,49,craze,2
resnet18,29,brightness_severe,craze,27,hide_craze,7
resnet18,29,brightness_severe,corrosion,30,hide_craze,9
resnet18,29,brightness_severe,surface_injure,33,hide_craze,4
resnet18,29,brightness_severe,thunderstrike,9,surface_injure,6
resnet18,29,brightness_severe,crack,14,hide_craze,5
resnet18,29,brightness_severe,hide_craze,49,surface_injure,3
resnet18,29,jpeg_mild,craze,27,corrosion,2
resnet18,29,jpeg_mild,corrosion,30,hide_craze,5
resnet18,29,jpeg_mild,surface_injure,33,hide_craze,7
resnet18,29,jpeg_mild,thunderstrike,9,none,0
resnet18,29,jpeg_mild,crack,14,hide_craze,1
resnet18,29,jpeg_mild,hide_craze,49,craze|corrosion|crack,1
resnet18,29,jpeg_moderate,craze,27,corrosion,2
resnet18,29,jpeg_moderate,corrosion,30,hide_craze,6
resnet18,29,jpeg_moderate,surface_injure,33,hide_craze,6
resnet18,29,jpeg_moderate,thunderstrike,9,none,0
resnet18,29,jpeg_moderate,crack,14,hide_craze,1
resnet18,29,jpeg_moderate,hide_craze,49,craze|crack,1
resnet18,29,jpeg_severe,craze,27,hide_craze,3
resnet18,29,jpeg_severe,corrosion,30,hide_craze,6
resnet18,29,jpeg_severe,surface_injure,33,hide_craze,8
resnet18,29,jpeg_severe,thunderstrike,9,surface_injure,1
resnet18,29,jpeg_severe,crack,14,surface_injure|hide_craze,1
resnet18,29,jpeg_severe,hide_craze,49,none,0
resnet18,43,clean,craze,27,none,0
resnet18,43,clean,corrosion,30,surface_injure,4
resnet18,43,clean,surface_injure,33,craze|corrosion,1
resnet18,43,clean,thunderstrike,9,surface_injure,1
resnet18,43,clean,crack,14,hide_craze,1
resnet18,43,clean,hide_craze,49,thunderstrike|crack,2
resnet18,43,gaussian_blur_mild,craze,27,surface_injure,1
resnet18,43,gaussian_blur_mild,corrosion,30,surface_injure,4
resnet18,43,gaussian_blur_mild,surface_injure,33,hide_craze,2
resnet18,43,gaussian_blur_mild,thunderstrike,9,surface_injure,1
resnet18,43,gaussian_blur_mild,crack,14,hide_craze,1
resnet18,43,gaussian_blur_mild,hide_craze,49,crack,3
resnet18,43,gaussian_blur_moderate,craze,27,surface_injure,3
resnet18,43,gaussian_blur_moderate,corrosion,30,hide_craze,6
resnet18,43,gaussian_blur_moderate,surface_injure,33,hide_craze,4
resnet18,43,gaussian_blur_moderate,thunderstrike,9,surface_injure,2
resnet18,43,gaussian_blur_moderate,crack,14,none,0
resnet18,43,gaussian_blur_moderate,hide_craze,49,crack,3
resnet18,43,gaussian_blur_severe,craze,27,hide_craze,9
resnet18,43,gaussian_blur_severe,corrosion,30,hide_craze,15
resnet18,43,gaussian_blur_severe,surface_injure,33,hide_craze,3
resnet18,43,gaussian_blur_severe,thunderstrike,9,surface_injure,5
resnet18,43,gaussian_blur_severe,crack,14,hide_craze,2
