sample_id,sheet,tile_row,tile_column,xml_named_image,embedded_filename_image,recommended_identity_status,recommendation_confidence,review_required
973,identity_review_032.jpg,3,1,973.jpg,589.jpg,ambiguous,low,True
975,identity_review_032.jpg,3,2,975.jpg,595.jpg,xml_name_correct,high,True
976,identity_review_033.jpg,1,1,976.jpg,596.jpg,xml_name_correct,high,True
977,identity_review_033.jpg,1,2,977.jpg,598.jpg,ambiguous,low,True
978,identity_review_033.jpg,2,1,978.jpg,599.jpg,ambiguous,low,True
979,identity_review_033.jpg,2,2,979.jpg,6.jpg,xml_name_correct,high,True
981,identity_review_033.jpg,3,1,981.jpg,609.jpg,ambiguous,low,True
982,identity_review_033.jpg,3,2,982.jpg,612.jpg,xml_name_correct,high,True
983,identity_review_034.jpg,1,1,983.jpg,613.jpg,xml_name_correct,high,True
985,identity_review_034.jpg,1,2,985.jpg,618.jpg,xml_name_correct,high,True
987,identity_review_034.jpg,2,1,987.jpg,62.jpg,ambiguous,low,True
988,identity_review_034.jpg,2,2,988.jpg,620.jpg,xml_name_correct,high,True
989,identity_review_034.jpg,3,1,989.jpg,621.jpg,ambiguous,low,True
990,identity_review_034.jpg,3,2,990.jpg,624.jpg,ambiguous,low,True
991,identity_review_035.jpg,1,1,991.jpg,628.jpg,ambiguous,low,True
993,identity_review_035.jpg,1,2,993.jpg,630.jpg,ambiguous,low,True
994,identity_review_035.jpg,2,1,994.jpg,632.jpg,xml_name_correct,high,True
995,identity_review_035.jpg,2,2,995.jpg,636.jpg,ambiguous,low,True
996,identity_review_035.jpg,3,1,996.jpg,637.jpg,ambiguous,low,True
999,identity_review_035.jpg,3,2,999.jpg,640.jpg,ambiguous,low,True
1000,identity_review_036.jpg,1,1,1000.jpg,642.jpg,ambiguous,low,True
1001,identity_review_036.jpg,1,2,1001.jpg,645.jpg,ambiguous,low,True
1003,identity_review_036.jpg,2,1,1003.jpg,651.jpg,xml_name_correct,high,True
1005,identity_review_036.jpg,2,2,1005.jpg,656.jpg,xml_name_correct,high,True
1006,identity_review_036.jpg,3,1,1006.jpg,659.jpg,ambiguous,low,True
1009,identity_review_036.jpg,3,2,1009.jpg,664.jpg,xml_name_correct,high,True
1011,identity_review_037.jpg,1,1,1011.jpg,668.jpg,xml_name_correct,high,True
1012,identity_review_037.jpg,1,2,1012.jpg,67.jpg,xml_name_correct,high,True
1013,identity_review_037.jpg,2,1,1013.jpg,674.jpg,xml_name_correct,high,True
1014,identity_review_037.jpg,2,2,1014.jpg,676.jpg,ambiguous,low,True
1015,identity_review_037.jpg,3,1,1015.jpg,679.jpg,ambiguous,low,True
1016,identity_review_037.jpg,3,2,1016.jpg,680.jpg,ambiguous,low,True
1018,identity_review_038.jpg,1,1,1018.jpg,683.jpg,ambiguous,low,True
1020,identity_review_038.jpg,1,2,1020.jpg,687.jpg,xml_name_correct,high,True
1021,identity_review_038.jpg,2,1,1021.jpg,688.jpg,xml_name_correct,high,True
1022,identity_review_038.jpg,2,2,1022.jpg,689.jpg,xml_name_correct,high,True
1023,identity_review_038.jpg,3,1,1023.jpg,690.jpg,xml_name_correct,high,True
1024,identity_review_038.jpg,3,2,1024.jpg,691.jpg,xml_name_correct,high,True
1025,identity_review_039.jpg,1,1,1025.jpg,693.jpg,ambiguous,low,True
1026,identity_review_039.jpg,1,2,1026.jpg,696.jpg,xml_name_correct,high,True
1027,identity_review_039.jpg,2,1,1027.jpg,698.jpg,ambiguous,low,True
1028,identity_review_039.jpg,2,2,1028.jpg,699.jpg,ambiguous,low,True
1029,identity_review_039.jpg,3,1,1029.jpg,700.jpg,xml_name_correct,high,True
1030,identity_review_039.jpg,3,2,1030.jpg,701.jpg,ambiguous,low,True
1031,identity_review_040.jpg,1,1,1031.jpg,704.jpg,xml_name_correct,high,True
1032,identity_review_040.jpg,1,2,1032.jpg,706.jpg,ambiguous,low,True
1033,identity_review_040.jpg,2,1,1033.jpg,708.jpg,ambiguous,low,True
1034,identity_review_040.jpg,2,2,1034.jpg,709.jpg,xml_name_correct,high,True
1035,identity_review_040.jpg,3,1,1035.jpg,71.jpg,xml_name_correct,high,True
1036,identity_review_040.jpg,3,2,1036.jpg,710.jpg,xml_name_correct,high,True
1037,identity_review_041.jpg,1,1,1037.jpg,712.jpg,xml_name_correct,high,True
1038,identity_review_041.jpg,1,2,1038.jpg,713.jpg,ambiguous,low,True
1039,identity_review_041.jpg,2,1,1039.jpg,715.jpg,ambiguous,low,True
1040,identity_review_041.jpg,2,2,1040.jpg,716.jpg,xml_name_correct,high,True
1041,identity_review_041.jpg,3,1,1041.jpg,717.jpg,ambiguous,low,True
1042,identity_review_041.jpg,3,2,1042.jpg,72.jpg,xml_name_correct,high,True
1043,identity_review_042.jpg,1,1,1043.jpg,722.jpg,xml_name_correct,high,True
1044,identity_review_042.jpg,1,2,1044.jpg,723.jpg,ambiguous,low,True
1045,identity_review_042.jpg,2,1,1045.jpg,727.jpg,xml_name_correct,high,True
1047,identity_review_042.jpg,2,2,1047.jpg,731.jpg,ambiguous,low,True
1049,identity_review_042.jpg,3,1,1049.jpg,733.jpg,ambiguous,low,True
1050,identity_review_042.jpg,3,2,1050.jpg,735.jpg,ambiguous,low,True
1051,identity_review_043.jpg,1,1,1051.jpg,74.jpg,ambiguous,low,True
1052,identity_review_043.jpg,1,2,1052.jpg,75.jpg,xml_name_correct,high,True
1053,identity_review_043.jpg,2,1,1053.jpg,76.jpg,ambiguous,low,True
1054,identity_review_043.jpg,2,2,1054.jpg,78.jpg,ambiguous,low,True
1055,identity_review_043.jpg,3,1,1055.jpg,8.jpg,xml_name_correct,high,True
1056,identity_review_043.jpg,3,2,1056.jpg,84.jpg,ambiguous,low,True
1057,identity_review_044.jpg,1,1,1057.jpg,85.jpg,xml_name_correct,high,True
1058,identity_review_044.jpg,1,2,1058.jpg,89.jpg,ambiguous,low,True
1059,identity_review_044.jpg,2,1,1059.jpg,9.jpg,ambiguous,low,True
1062,identity_review_044.jpg,2,2,1062.jpg,94.jpg,xml_name_correct,high,True
