method,training_fraction,class,training_class_count,f1_mean,f1_sample_sd,precision_mean,precision_sample_sd,recall_mean,recall_sample_sd
resnet18,0.75,surface_injure,151,0.8776556776556776,0.0139579185957931,0.8502252252252251,0.021455584327992855,0.9090909090909092,0.05248638810814781
resnet18,0.75,thunderstrike,32,0.9666666666666667,0.05773502691896256,0.9393939393939394,0.10497277621629557,1.0,0.0
resnet18,0.75,crack,73,0.9283272283272282,0.005132563994379396,0.9345238095238096,0.06271222471936154,0.9285714285714285,0.07142857142857145
resnet18,0.75,hide_craze,154,0.8989238168385634,0.03347293570616144,0.9222720035789944,0.04079437924959333,0.8775510204081632,0.040816326530612235
resnet18,1.0,craze,123,0.9285106124186583,0.0025548213600066713,0.897815130666447,0.027500866239521308,0.9629629629629629,0.037037037037037035
resnet18,1.0,corrosion,126,0.8475347187806301,0.032035744304593224,0.9039484887186037,0.0680878739389055,0.7999999999999999,0.033333333333333326
resnet18,1.0,surface_injure,185,0.8454458330888537,0.047498766168946376,0.8877314814814815,0.061756118388676395,0.8181818181818182,0.12121212121212122
resnet18,1.0,thunderstrike,42,0.9473684210526315,0.09116056881941462,0.9333333333333332,0.11547005383792512,0.9629629629629629,0.06415002990995845
resnet18,1.0,crack,93,0.8987764182424917,0.0038532832203979238,0.8522875816993464,0.024905305729748604,0.9523809523809524,0.041239304942116105
resnet18,1.0,hide_craze,188,0.9042505253031567,0.040823585584824906,0.8933643892339544,0.07987828988958341,0.9183673469387755,0.020408163265306145
mobilenet_v3_small,0.25,craze,39,0.7672127255460589,0.025522869315346843,0.8151675485008818,0.0830558634736847,0.7283950617283951,0.021383343303319438
mobilenet_v3_small,0.25,corrosion,40,0.6139538661468485,0.08241788725381881,0.7145061728395062,0.08129362463620937,0.5444444444444444,0.10183501544346309
mobilenet_v3_small,0.25,surface_injure,66,0.6904228855721394,0.061198959272395784,0.7194110619158057,0.06771991421111065,0.6666666666666666,0.08017428215347243
mobilenet_v3_small,0.25,thunderstrike,12,0.7268518518518517,0.08820629112619283,0.7566137566137566,0.036657159948547666,0.7037037037037037,0.12830005981991682
mobilenet_v3_small,0.25,crack,28,0.7306405306405307,0.03391687909622917,0.6592477570738441,0.07876400194019216,0.8571428571428572,0.1889822365046136
mobilenet_v3_small,0.25,hide_craze,67,0.81092207350069,0.03550236146116512,0.7539858892222853,0.022648458432214955,0.8775510204081632,0.05399492471560391
mobilenet_v3_small,0.5,craze,70,0.8217697335344395,0.047817570550533976,0.8896825396825397,0.07969376383352168,0.765432098765432,0.042766686606638946
mobilenet_v3_small,0.5,corrosion,72,0.7202118640511026,0.04225343608080092,0.6977333822091887,0.03698718649500867,0.7444444444444445,0.050917507721731606
mobilenet_v3_small,0.5,surface_injure,111,0.7345765345765347,0.050268287306401135,0.742108585858586,0.04875131460480176,0.7272727272727272,0.05248638810814781
mobilenet_v3_small,0.5,thunderstrike,22,0.9120857699805067,0.03105661439273191,0.869023569023569,0.04437935239525094,0.9629629629629629,0.06415002990995845
mobilenet_v3_small,0.5,crack,51,0.8040796963946869,0.04744544538670243,0.788235294117647,0.10205500925233811,0.8571428571428572,0.1889822365046136
mobilenet_v3_small,0.5,hide_craze,114,0.8870390261367705,0.020706824008648518,0.8905388242253424,0.007831233683542828,0.8843537414965986,0.042482979580941466
mobilenet_v3_small,0.75,craze,98,0.8698942566867095,0.013841777843350776,0.8774005305039787,0.046627436974686805,0.8641975308641975,0.021383343303319438
