method,seed,condition_id,corruption_family,severity,parameter,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,absolute_drop,retention,retention_percent,relative_loss,relative_loss_percent,prediction_flip_count,prediction_flip_rate,harmful_flip_count,beneficial_flip_count,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect
mobilenet_v3_small,29,resolution_moderate,resolution,moderate,112,0.8456179562611963,0.8535445154492773,0.8333333333333334,0.8663676236044656,0.8535445154492773,-0.04868866372906,0.9455570800430948,94.55570800430948,0.0544429199569052,5.44429199569052,19,0.11728395061728394,11,4,131,11,4,16
mobilenet_v3_small,29,resolution_severe,resolution,severe,56,0.7485471618024323,0.7381124166838452,0.7530864197530864,0.8530085062290658,0.7381124166838452,-0.145759458187824,0.8370140006462078,83.70140006462078,0.1629859993537922,16.298599935379222,37,0.22839506172839505,26,6,116,26,6,14
mobilenet_v3_small,29,brightness_mild,brightness,mild,0.75,0.8936402091200852,0.8941088893469846,0.8827160493827161,0.8968950416867082,0.8941088893469846,-0.0006664108701710525,0.999254829545846,99.9254829545846,0.0007451704541540094,0.07451704541540094,8,0.04938271604938271,3,4,139,3,4,16
mobilenet_v3_small,29,brightness_moderate,brightness,moderate,0.5,0.8563578922382679,0.853255915160677,0.8395061728395061,0.8666199813258636,0.853255915160677,-0.03794872775198843,0.9575663123768424,95.75663123768425,0.04243368762315758,4.243368762315757,19,0.11728395061728394,12,6,130,12,6,14
mobilenet_v3_small,29,brightness_severe,brightness,severe,0.25,0.6887308409047539,0.655331088664422,0.7098765432098766,0.7913398692810457,0.655331088664422,-0.2055757790855024,0.7701283044424493,77.01283044424493,0.22987169555755071,22.98716955575507,57,0.35185185185185186,40,13,102,40,13,7
mobilenet_v3_small,29,jpeg_mild,jpeg,mild,75,0.8701957540667218,0.8922833779976638,0.8580246913580247,0.854629176622293,0.8922833779976638,-0.024110865923534508,0.97303959807007,97.303959807007,0.02696040192992999,2.696040192992999,13,0.08024691358024691,6,3,136,6,3,17
mobilenet_v3_small,29,jpeg_moderate,jpeg,moderate,50,0.8515059819466223,0.8529673148720768,0.8271604938271605,0.8550386821395225,0.8529673148720768,-0.04280063804363399,0.9521409804121764,95.21409804121764,0.04785901958782357,4.7859019587823575,20,0.12345679012345678,12,4,130,12,4,16
mobilenet_v3_small,29,jpeg_severe,jpeg,severe,25,0.7691326734971806,0.7626033578414532,0.7716049382716049,0.7855611971036401,0.7626033578414532,-0.12517394649307567,0.8600324053349404,86.00324053349404,0.1399675946650596,13.99675946650596,27,0.16666666666666666,20,3,122,20,3,17
mobilenet_v3_small,43,clean,clean,clean,original_phase3_png,0.8899154675481808,0.8999312856455713,0.8827160493827161,0.883268292628366,0.8999312856455713,0.0,1.0,100.0,0.0,0.0,0,0.0,0,0,143,0,0,19
mobilenet_v3_small,43,gaussian_blur_mild,gaussian_blur,mild,0.75,0.8808362773880015,0.8841063698206556,0.8827160493827161,0.8832268307268306,0.8841063698206556,-0.009079190160179329,0.9897976937234347,98.97976937234347,0.010202306276565265,1.0202306276565265,10,0.06172839506172839,4,4,139,4,4,15
mobilenet_v3_small,43,gaussian_blur_moderate,gaussian_blur,moderate,1.5,0.8593991220858194,0.8442337204241966,0.8641975308641975,0.8929030013913736,0.8442337204241966,-0.030516345462361483,0.9657087143945958,96.57087143945958,0.034291285605404176,3.4291285605404176,20,0.12345679012345678,10,7,133,10,7,12
mobilenet_v3_small,43,gaussian_blur_severe,gaussian_blur,severe,3.0,0.607994975096803,0.6265970361208456,0.6728395061728395,0.7795004413549597,0.6265970361208456,-0.28192049245137785,0.6832053124909705,68.32053124909704,0.3167946875090295,31.67946875090295,53,0.3271604938271605,41,7,102,41,7,12
mobilenet_v3_small,43,resolution_mild,resolution,mild,168,0.8897769252598381,0.8874435969674065,0.8827160493827161,0.9020207570207571,0.8874435969674065,-0.00013854228834275784,0.9998443197209231,99.98443197209231,0.0001556802790768641,0.01556802790768641,14,0.08641975308641975,6,6,137,6,6,13
